csv_file,keywords
iir-12.1.1.csv,"['Language Models', 'Language Model', 'Information Retrieval', 'Queries', 'Query', 'Relevant Document', 'Language Modeling Approach', 'Ir', 'Document', 'Document Ranking', 'Probabilistic Approach', 'Probabilistic Language Model', 'Query Likelihood Model', 'Generative Model', 'Language Theory', 'Finite Automaton', 'Probabilistic Finite Automaton', 'Probability Distribution', 'Document Model', 'Language Of The Automaton', 'Likelihood Ratio', 'Relevance', 'Finite Automata', 'Terms', 'String', 'Term Emission Probabilities']"
iir-4.6.csv,"['Nonpositional Indexes', 'Nonpositional Index', 'Termid', 'Docid', 'Docids', 'Indexes', 'Index', 'Ranked Retrieval Systems', 'Ranked Retrieval', 'Postings', 'Docid-Sorted Index', 'Documents', 'Document', 'Postings Lists', 'Postings List', 'Impact-Sorted Index', 'Inverted Index', 'Security', 'Access Control Lists', 'Acls', 'Acl', 'User-Document Matrix', 'Inverted Acl Index', 'Query Time', 'Positional Index', 'Positional Indexes', 'Tokens', 'Algorithms', 'Query Processing', 'Retrieval System', 'Retrieval Systems', 'User Authorization', 'Information Retrieval System', 'Access Permissions', 'Incremental Indexing', 'User Membership', 'Query', ""User'S Access List"", 'File System', 'Retrieval', 'Terms']"
iir-6.csv,"['Scoring', 'Term Weighting', 'Vector Space Model', 'Indexes', 'Index', 'Boolean Queries', 'Document', 'Documents', 'Query', 'Document Collections', 'Search Engine', 'Vector Space Scoring', 'Query Terms', 'Free Text Queries', 'Terms', 'Term', 'Metadata', 'Term-Weighting']"
iir-14.2.csv,"['Rocchio Classification', 'Decision Boundaries', 'Decision Boundary', 'Document', 'Documents', 'Vector Space Classification', 'Algorithms', 'Classification Accuracy', 'Centroids', 'Centroid', 'Normalized Vector', 'M-Dimensional Space', 'Normal Vector', 'Rocchio Algorithm', 'Pseudocode', 'Euclidean Distance', 'Cosine Similarity', 'K-Means Clustering', 'Rocchio Relevance Feedback', 'Relevant Documents', 'Rocchio Vector', 'Relevance Feedback', 'Rocchio Formula', 'Text Classification', 'Prototype', 'Multimodal Class', 'Two-Class Classification', 'Training Time', 'Naive Bayes', 'Knn', 'Vector Space Classification', 'Hyperplane', 'Hyperplanes', 'Hyperplane', 'Hyperplanes', 'Classification', 'Multimodality', 'False Positives', 'Class', 'Rocchio Classification Centroid', '2-Dimensional Planes', 'Class Regions', 'Query', 'Rocchio', 'Two-Class Classifiers', 'Time Complexity', 'Collection']"
iir-8.1.csv,"['Document Collection', 'Information Needs', 'Information Need', 'Queries', 'Query', 'Query-Document Pair', 'Relevance', 'Document', 'Documents', 'Binary Classification', 'Gold Standard', 'Ground Truth', 'Development Test Collections', 'Development Test Collection', 'Test Collection', 'Web Search Engine', 'Binary Relevance Judgments', 'Collection', 'Information Retrieval System Evaluation', 'Ad Hoc Information Retrieval Effectiveness', 'Test Document Collection']"
iir-8.7.csv,"['Documents', 'Document', 'Query', 'Snippet', 'Snippets', 'Relevance', 'Static Summary', 'Dynamic Summary', 'Dynamic Summaries', 'Metadata', 'Html Page', 'Text Summarization', 'Document Frequency', 'Collection', 'Nlp Approaches', 'Query Terms', 'Keyword-In-Context', 'Nlp Techniques', 'Ir Systems', 'Ir System', 'Ir System Design', 'Kwic', 'Terms', 'Index', 'Indexer', 'Ranking', 'Zones', 'Zone', 'Keyword-In-Context Snippets', 'Scoring', 'Positional Index', 'Caching', 'Cache', 'Crawler', 'Results Snippets', 'Information Need', 'Natural Language Processing', 'Query-Independent Information Value', 'Static Summarization', 'Search Engine', 'Disk Drives', 'Information Security', 'Kwic Snippet', 'Document Summary']"
iir-16.4.1.csv,"['Cluster Cardinality', 'K-Means', 'Rss', 'Distortion', 'Model Complexity', 'Clustering', 'Clusterings', 'Clusters', 'Akaike Information Criterion', 'Aic', 'Negative Maximum Log-Likelihood', 'Vector Space', 'Text Clustering', 'Information Retrieval', 'Heuristic Method', 'Documents', 'Hard Assignment', 'Covariance Matrices', 'Data Sets', 'Cluster Cardinality In K-Means', 'Flat Clustering Algorithms', 'Objective Function', 'Centroids', 'Gaussian Mixture']"
iir-13.2.csv,"['Multinomial Naive Bayes', 'Multinomial Nb Model', 'Probabilistic Learning Method', 'Term', 'Terms', 'Document', 'Documents', 'Class', 'Prior Probability', 'Tokens', 'Vocabulary', 'Classification', 'Stop Words', 'Text Classification', 'Nb Classification', 'Maximum A Posteriori Class', 'Training Set', 'Maximum Likelihood Estimate', 'Training Data', 'Conditional Probability', 'Conditional Probabilities', 'Conditional Probability', 'Conditional Probabilities', 'Positional Independence Assumption', 'Mle Estimate', 'Sparseness', 'Laplace Smoothing', 'Add-One Smoothing', 'Uniform Prior', 'Nb', 'Time Complexity', 'Training Collection', 'Test Document', 'Test Documents', 'Text Classification Method', 'Multinomial Unigram Language Model', 'Language Modeling', 'Naive Bayes Text Classification', 'Maximum A Posteriori', 'Term Weights', 'Supervised Learning Method', 'Multinomial Naive Bayes Model', 'Training Documents', 'Nb Classifier', 'Query', 'Add-1/2 Smoothing']"
iir-12.1.2.csv,"['Language Models', 'Language Model', 'Chain Rule', 'Unigram Language Model', 'Unigram Language Models', 'Bigram Language Models', 'Grammar-Based Language Models', 'Speech  Recognition', 'Spelling Correction', 'Machine Translation', 'Ir', 'Unigram Models', 'Ir Language Models', 'Document', 'Training Data', 'Bias-Variance Tradeoff', 'Higher-Order Models', 'Terms', 'Term', 'Probabilistic Context-Free Grammars', 'Data Sparseness', 'Proximity Queries', 'Model Of Van Rijsbergen']"
iir-8.3.csv,"['Unranked Retrieval Sets', 'Information Retrieval Effectiveness', 'Precision', 'Recall', 'Ir System', 'Document', 'Documents', 'Query', 'Queries', 'Accuracy', 'Classifications', 'Information Retrieval System', 'Two-Class Classifier', 'Machine Learning Classification Problems', 'Information Retrieval Problems', 'True Positives', 'False Positive', 'False Positives', 'Hard Disks', 'F Measure', 'Arithmetic Mean', 'Geometric Mean', 'Ranked Retrieval', 'Balanced F Measure']"
