csv_file,keywords
Boolean retrieval,"['retrieval', 'information', 'documents', 'searching', 'queries', 'searchers', 'search', 'data', 'indexing', 'database']"
The term vocabulary and postings lists,"['tokenization', 'indexing', 'indexes', 'linguistic', 'stemming', 'documents', 'vocabulary', 'diacritics', 'tokenize', 'document']"
Dictionaries and tolerant retrieval,"['retrieval', 'dictionaries', 'searching', 'search', 'queries', 'indexes', 'spellings', 'vowels', 'vocabulary', 'spell']"
Index construction,"['indexing', 'indexers', 'indexes', 'indexer', 'index', 'retrieval', 'collections', 'crawled', 'sortbased', 'hardware']"
Index compression,"['compression', 'compressed', 'retrieval', 'decompressing', 'compressing', 'decompression', 'storage', 'memory', 'compress', 'caching']"
"Scoring, term weighting and the vector space model","['ranking', 'indexes', 'index', 'termweighting', 'search', 'documents', 'queries', 'scores', 'rankorder', 'topics']"
Computing scores in a complete search system,"['ranking', 'indexes', 'retrieval', 'search', 'queries', 'scores', 'index', 'heuristics', 'queryterm', 'scoring']"
Evaluation in information retrieval,"['retrieval', 'ranking', 'evaluation', 'evaluating', 'relevance', 'ranked', 'irbook', 'effectiveness', 'documents', 'index']"
Relevance feedback and query expansion,"['retrieval', 'relevance', 'thesaurus', 'search', 'wordnet', 'refinement', 'vocabulary', 'refining', 'terms', 'query']"
XML retrieval,"['retrieval', 'querying', 'xml', 'databases', 'queries', 'xquery', 'database', 'sql', 'documents', 'search']"
Probabilistic information retrieval,"['retrieval', 'relevance', 'probabilistic', 'documents', 'information', 'document', 'irbook', 'classifier', 'ranking', 'content']"
Language models for information retrieval,"['retrieval', 'ranking', 'queries', 'documents', 'language', 'relevance', 'document', 'irbook', 'models', 'probabilistic']"
Text classification and Naive Bayes,"['retrieval', 'indexing', 'searches', 'queries', 'searching', 'search', 'incrementally', 'classification', 'stemming', 'microprocessor']"
Vector space classification,"['classifying', 'classification', 'classify', 'classifiers', 'documents', 'classes', 'document', 'relatedness', 'patterns', 'hyperplanes']"
Support vector machines and machine learning on documents,"['classifiers', 'classifier', 'svm', 'svms', 'classification', 'machinelearning', 'ranking', 'classes', 'features', 'retrieval']"
Flat clustering,"['clusterings', 'clustering', 'clusters', 'cluster', 'unsupervised', 'classification', 'supervised', 'retrieval', 'hierarchical', 'documents']"
Hierarchical clustering,"['clusteringhierarchical', 'clusters', 'hierarchical', 'cluster', 'hierarchy', 'clustering', 'hierarchic', 'agglomerative', 'algorithms', 'unstructured']"
Matrix decompositions and latent semantic indexing,"['indexing', 'retrieval', 'matrices', 'ranking', 'matrix', 'index', 'termdocument', 'lowrank', 'semantic', 'documents']"
Web search basics,"['indexes', 'search', 'retrieval', 'indexed', 'web', 'index', 'collections', 'basics', 'documents', 'information']"
Web crawling and indexes,"['crawler', 'indexes', 'crawling', 'index', 'web', 'dns', 'page', 'contents', 'servers', 'overview']"
Link analysis,"['pagerank', 'citations', 'bibliometrics', 'hyperlinks', 'hyperlink', 'citation', 'scholarly', 'ranking', 'inlinks', 'references']"
